firm_id,zone_id,sector_id,size_band,market_segment_id,ability_to_pay_score,digital_maturity_score,channel_reachability_score,expansion_potential_score
firm-v2-000248,core_colombo,logistics_services,small,b2b_field_and_flow_operators,67.23,60.24,56.15,59.93
firm-v2-000249,south_west_suburban,healthcare_services,small,b2b_service_admin_clusters,68.51,54.24,64.97,64.41
firm-v2-000250,south_west_suburban,education_services,small,b2b_service_admin_clusters,62.51,54.24,63.87,62.69
firm-v2-000251,south_west_suburban,professional_services,small,b2b_knowledge_and_admin_smes,73.15,76.24,72.23,66.51
firm-v2-000252,core_colombo,healthcare_services,small,b2b_service_admin_clusters,77.23,60.24,67.15,68.53
firm-v2-000253,core_colombo,retail_trade,micro,b2b_frontline_micro_operators,40.24,35.36,43.76,44.85
firm-v2-000254,outer_commuter_belt,retail_trade,small,b2b_consumer_service_smes,49.28,50.64,57.06,57.98
firm-v2-000255,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000256,outer_commuter_belt,food_service,micro,b2b_frontline_micro_operators,22.29,25.76,40.27,37.13
firm-v2-000257,outer_commuter_belt,light_manufacturing,micro,b2b_workshop_manufacturing,24.29,25.76,33.77,26.89
firm-v2-000258,east_growth_corridor,light_manufacturing,micro,b2b_workshop_manufacturing,31.27,30.56,35.52,30.19
firm-v2-000259,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000260,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000261,outer_commuter_belt,growth_services,medium,b2b_knowledge_and_admin_smes,84.15,91.28,76.98,84.88
firm-v2-000262,east_growth_corridor,wholesale_distribution,small,b2b_field_and_flow_operators,58.25,55.44,54.4,56.07
firm-v2-000263,east_growth_corridor,wholesale_distribution,small,b2b_field_and_flow_operators,58.25,55.44,54.4,56.07
firm-v2-000264,south_west_suburban,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,81.47,78.88,77.81,75.06
firm-v2-000265,south_west_suburban,retail_trade,micro,b2b_frontline_micro_operators,31.52,29.36,41.58,40.73
firm-v2-000266,core_colombo,retail_trade,small,b2b_consumer_service_smes,63.23,60.24,60.55,64.57
firm-v2-000267,south_west_suburban,real_estate_services,micro,b2b_general_local_smes,38.16,51.36,55.44,49.23
firm-v2-000268,east_growth_corridor,wholesale_distribution,small,b2b_field_and_flow_operators,58.25,55.44,54.4,56.07
firm-v2-000269,core_colombo,retail_trade,small,b2b_consumer_service_smes,63.23,60.24,60.55,64.57
firm-v2-000270,south_west_suburban,light_manufacturing,micro,b2b_workshop_manufacturing,29.52,29.36,35.08,29.37
firm-v2-000271,admin_professional_belt,tourism_hospitality,small,b2b_consumer_service_smes,62.97,61.44,63.18,64.91
firm-v2-000272,south_west_suburban,retail_trade,micro,b2b_frontline_micro_operators,31.52,29.36,41.58,40.73
firm-v2-000273,core_colombo,logistics_services,small,b2b_field_and_flow_operators,67.23,60.24,56.15,59.93
firm-v2-000274,outer_commuter_belt,growth_services,medium,b2b_knowledge_and_admin_smes,84.15,91.28,76.98,84.88
firm-v2-000275,south_west_suburban,wholesale_distribution,small,b2b_field_and_flow_operators,56.51,54.24,53.97,55.25
firm-v2-000276,core_colombo,wholesale_distribution,small,b2b_field_and_flow_operators,65.23,60.24,56.15,59.37
firm-v2-000277,east_growth_corridor,retail_trade,micro,b2b_frontline_micro_operators,33.27,30.56,42.02,41.55
firm-v2-000278,core_colombo,construction_contractors,small,b2b_field_and_flow_operators,59.23,60.24,52.21,57.57
firm-v2-000279,admin_professional_belt,retail_trade,small,b2b_consumer_service_smes,64.97,61.44,60.98,65.39
firm-v2-000280,outer_commuter_belt,light_manufacturing,micro,b2b_workshop_manufacturing,24.29,25.76,33.77,26.89
firm-v2-000281,outer_commuter_belt,education_services,small,b2b_service_admin_clusters,57.28,50.64,62.56,60.22
firm-v2-000282,outer_commuter_belt,personal_services,micro,b2b_frontline_micro_operators,18.29,25.76,50.17,36.37
firm-v2-000283,east_growth_corridor,construction_contractors,small,b2b_field_and_flow_operators,52.25,55.44,50.46,54.27
firm-v2-000284,admin_professional_belt,retail_trade,micro,b2b_frontline_micro_operators,41.99,36.56,44.2,45.67
firm-v2-000285,east_growth_corridor,professional_services,small,b2b_knowledge_and_admin_smes,74.89,77.44,72.66,67.33
firm-v2-000286,outer_commuter_belt,wholesale_distribution,small,b2b_field_and_flow_operators,51.28,50.64,52.66,52.78
firm-v2-000287,admin_professional_belt,light_manufacturing,micro,b2b_workshop_manufacturing,39.99,36.56,37.7,34.31
firm-v2-000288,east_growth_corridor,food_service,micro,b2b_frontline_micro_operators,29.27,30.56,42.02,40.43
firm-v2-000289,outer_commuter_belt,real_estate_services,micro,b2b_general_local_smes,32.93,47.76,54.13,46.75
firm-v2-000290,east_growth_corridor,education_services,small,b2b_service_admin_clusters,64.25,55.44,64.3,63.51
firm-v2-000291,east_growth_corridor,food_service,micro,b2b_frontline_micro_operators,29.27,30.56,42.02,40.43
firm-v2-000292,south_west_suburban,tourism_hospitality,small,b2b_consumer_service_smes,52.51,54.24,60.57,59.97
firm-v2-000293,south_west_suburban,construction_contractors,small,b2b_field_and_flow_operators,50.51,54.24,50.03,53.45
firm-v2-000294,core_colombo,education_services,small,b2b_service_admin_clusters,71.23,60.24,66.05,66.81
firm-v2-000295,south_west_suburban,healthcare_services,small,b2b_service_admin_clusters,68.51,54.24,64.97,64.41
firm-v2-000296,south_west_suburban,construction_contractors,small,b2b_field_and_flow_operators,50.51,54.24,50.03,53.45
firm-v2-000297,east_growth_corridor,food_service,micro,b2b_frontline_micro_operators,29.27,30.56,42.02,40.43
firm-v2-000298,east_growth_corridor,logistics_services,small,b2b_field_and_flow_operators,60.25,55.44,54.4,56.63
firm-v2-000299,outer_commuter_belt,wholesale_distribution,small,b2b_field_and_flow_operators,51.28,50.64,52.66,52.78
firm-v2-000300,admin_professional_belt,retail_trade,micro,b2b_frontline_micro_operators,41.99,36.56,44.2,45.67
firm-v2-000301,core_colombo,retail_trade,micro,b2b_frontline_micro_operators,40.24,35.36,43.76,44.85
firm-v2-000302,east_growth_corridor,personal_services,micro,b2b_frontline_micro_operators,25.27,30.56,51.92,39.67
firm-v2-000303,core_colombo,wholesale_distribution,small,b2b_field_and_flow_operators,65.23,60.24,56.15,59.37
firm-v2-000304,east_growth_corridor,personal_services,micro,b2b_frontline_micro_operators,25.27,30.56,51.92,39.67
firm-v2-000305,south_west_suburban,retail_trade,micro,b2b_frontline_micro_operators,31.52,29.36,41.58,40.73
firm-v2-000306,outer_commuter_belt,wholesale_distribution,small,b2b_field_and_flow_operators,51.28,50.64,52.66,52.78
firm-v2-000307,outer_commuter_belt,professional_services,small,b2b_knowledge_and_admin_smes,67.92,72.64,70.92,64.04
firm-v2-000308,outer_commuter_belt,real_estate_services,micro,b2b_general_local_smes,32.93,47.76,54.13,46.75
firm-v2-000309,outer_commuter_belt,light_manufacturing,micro,b2b_workshop_manufacturing,24.29,25.76,33.77,26.89
firm-v2-000310,south_west_suburban,wholesale_distribution,small,b2b_field_and_flow_operators,56.51,54.24,53.97,55.25
firm-v2-000311,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000312,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000313,east_growth_corridor,real_estate_services,micro,b2b_general_local_smes,39.91,52.56,55.88,50.05
firm-v2-000314,south_west_suburban,retail_trade,small,b2b_consumer_service_smes,54.51,54.24,58.37,60.45
firm-v2-000315,core_colombo,personal_services,micro,b2b_frontline_micro_operators,32.24,35.36,53.66,42.97
firm-v2-000316,core_colombo,growth_services,medium,b2b_knowledge_and_admin_smes,98.0,100.0,80.44,91.2
firm-v2-000317,south_west_suburban,logistics_services,small,b2b_field_and_flow_operators,58.51,54.24,53.97,55.81
firm-v2-000318,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000319,south_west_suburban,retail_trade,small,b2b_consumer_service_smes,54.51,54.24,58.37,60.45
firm-v2-000320,south_west_suburban,real_estate_services,micro,b2b_general_local_smes,38.16,51.36,55.44,49.23
firm-v2-000321,core_colombo,growth_services,medium,b2b_knowledge_and_admin_smes,98.0,100.0,80.44,91.2
firm-v2-000322,south_west_suburban,wholesale_distribution,small,b2b_field_and_flow_operators,56.51,54.24,53.97,55.25
firm-v2-000323,outer_commuter_belt,construction_contractors,small,b2b_field_and_flow_operators,45.28,50.64,48.72,50.98
firm-v2-000324,core_colombo,construction_contractors,small,b2b_field_and_flow_operators,59.23,60.24,52.21,57.57
firm-v2-000325,outer_commuter_belt,education_services,small,b2b_service_admin_clusters,57.28,50.64,62.56,60.22
firm-v2-000326,south_west_suburban,retail_trade,small,b2b_consumer_service_smes,54.51,54.24,58.37,60.45
firm-v2-000327,outer_commuter_belt,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,76.23,75.28,76.5,72.58
firm-v2-000328,outer_commuter_belt,tourism_hospitality,small,b2b_consumer_service_smes,47.28,50.64,59.26,57.5
firm-v2-000329,core_colombo,retail_trade,micro,b2b_frontline_micro_operators,40.24,35.36,43.76,44.85
firm-v2-000330,south_west_suburban,retail_trade,micro,b2b_frontline_micro_operators,31.52,29.36,41.58,40.73
firm-v2-000331,outer_commuter_belt,real_estate_services,micro,b2b_general_local_smes,32.93,47.76,54.13,46.75
firm-v2-000332,south_west_suburban,growth_services,medium,b2b_knowledge_and_admin_smes,89.39,94.88,78.29,87.36
firm-v2-000333,core_colombo,light_manufacturing,micro,b2b_workshop_manufacturing,38.24,35.36,37.26,33.49
firm-v2-000334,south_west_suburban,tourism_hospitality,small,b2b_consumer_service_smes,52.51,54.24,60.57,59.97
firm-v2-000335,outer_commuter_belt,real_estate_services,micro,b2b_general_local_smes,32.93,47.76,54.13,46.75
firm-v2-000336,east_growth_corridor,education_services,small,b2b_service_admin_clusters,64.25,55.44,64.3,63.51
firm-v2-000337,outer_commuter_belt,growth_services,medium,b2b_knowledge_and_admin_smes,84.15,91.28,76.98,84.88
firm-v2-000338,core_colombo,professional_services,small,b2b_knowledge_and_admin_smes,81.87,82.24,74.41,70.63
firm-v2-000339,admin_professional_belt,light_manufacturing,micro,b2b_workshop_manufacturing,39.99,36.56,37.7,34.31
firm-v2-000340,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000341,south_west_suburban,wholesale_distribution,small,b2b_field_and_flow_operators,56.51,54.24,53.97,55.25
firm-v2-000342,south_west_suburban,retail_trade,small,b2b_consumer_service_smes,54.51,54.24,58.37,60.45
firm-v2-000343,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000344,outer_commuter_belt,professional_services,small,b2b_knowledge_and_admin_smes,67.92,72.64,70.92,64.04
firm-v2-000345,core_colombo,food_service,micro,b2b_frontline_micro_operators,36.24,35.36,43.76,43.73
firm-v2-000346,outer_commuter_belt,wholesale_distribution,small,b2b_field_and_flow_operators,51.28,50.64,52.66,52.78
firm-v2-000347,admin_professional_belt,wholesale_distribution,small,b2b_field_and_flow_operators,66.97,61.44,56.58,60.19
firm-v2-000348,core_colombo,light_manufacturing,micro,b2b_workshop_manufacturing,38.24,35.36,37.26,33.49
firm-v2-000349,admin_professional_belt,wholesale_distribution,small,b2b_field_and_flow_operators,66.97,61.44,56.58,60.19
firm-v2-000350,core_colombo,education_services,small,b2b_service_admin_clusters,71.23,60.24,66.05,66.81
firm-v2-000351,admin_professional_belt,professional_services,small,b2b_knowledge_and_admin_smes,83.61,83.44,74.84,71.45
firm-v2-000352,south_west_suburban,tourism_hospitality,small,b2b_consumer_service_smes,52.51,54.24,60.57,59.97
firm-v2-000353,outer_commuter_belt,retail_trade,small,b2b_consumer_service_smes,49.28,50.64,57.06,57.98
firm-v2-000354,core_colombo,light_manufacturing,micro,b2b_workshop_manufacturing,38.24,35.36,37.26,33.49
firm-v2-000355,south_west_suburban,logistics_services,small,b2b_field_and_flow_operators,58.51,54.24,53.97,55.81
firm-v2-000356,core_colombo,wholesale_distribution,small,b2b_field_and_flow_operators,65.23,60.24,56.15,59.37
firm-v2-000357,core_colombo,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,90.19,84.88,79.99,79.18
firm-v2-000358,south_west_suburban,personal_services,micro,b2b_frontline_micro_operators,23.52,29.36,51.48,38.85
firm-v2-000359,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000360,outer_commuter_belt,logistics_services,small,b2b_field_and_flow_operators,53.28,50.64,52.66,53.34
firm-v2-000361,admin_professional_belt,retail_trade,micro,b2b_frontline_micro_operators,41.99,36.56,44.2,45.67
firm-v2-000362,core_colombo,tourism_hospitality,small,b2b_consumer_service_smes,61.23,60.24,62.75,64.09
firm-v2-000363,admin_professional_belt,growth_services,medium,b2b_knowledge_and_admin_smes,99.6,100.0,80.84,91.65
firm-v2-000364,south_west_suburban,wholesale_distribution,small,b2b_field_and_flow_operators,56.51,54.24,53.97,55.25
firm-v2-000365,east_growth_corridor,retail_trade,micro,b2b_frontline_micro_operators,33.27,30.56,42.02,41.55
firm-v2-000366,core_colombo,personal_services,micro,b2b_frontline_micro_operators,32.24,35.36,53.66,42.97
firm-v2-000367,south_west_suburban,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,81.47,78.88,77.81,75.06
firm-v2-000368,core_colombo,professional_services,small,b2b_knowledge_and_admin_smes,81.87,82.24,74.41,70.63
firm-v2-000369,south_west_suburban,personal_services,micro,b2b_frontline_micro_operators,23.52,29.36,51.48,38.85
firm-v2-000370,outer_commuter_belt,logistics_services,small,b2b_field_and_flow_operators,53.28,50.64,52.66,53.34
firm-v2-000371,east_growth_corridor,wholesale_distribution,small,b2b_field_and_flow_operators,58.25,55.44,54.4,56.07
firm-v2-000372,core_colombo,logistics_services,small,b2b_field_and_flow_operators,67.23,60.24,56.15,59.93
firm-v2-000373,admin_professional_belt,logistics_services,small,b2b_field_and_flow_operators,68.97,61.44,56.58,60.75
firm-v2-000374,core_colombo,tourism_hospitality,small,b2b_consumer_service_smes,61.23,60.24,62.75,64.09
firm-v2-000375,outer_commuter_belt,education_services,small,b2b_service_admin_clusters,57.28,50.64,62.56,60.22
firm-v2-000376,admin_professional_belt,logistics_services,small,b2b_field_and_flow_operators,68.97,61.44,56.58,60.75
firm-v2-000377,outer_commuter_belt,healthcare_services,small,b2b_service_admin_clusters,63.28,50.64,63.66,61.94
firm-v2-000378,core_colombo,growth_services,medium,b2b_knowledge_and_admin_smes,98.0,100.0,80.44,91.2
firm-v2-000379,outer_commuter_belt,real_estate_services,micro,b2b_general_local_smes,32.93,47.76,54.13,46.75
firm-v2-000380,outer_commuter_belt,retail_trade,small,b2b_consumer_service_smes,49.28,50.64,57.06,57.98
firm-v2-000381,core_colombo,light_manufacturing,micro,b2b_workshop_manufacturing,38.24,35.36,37.26,33.49
firm-v2-000382,south_west_suburban,light_manufacturing,micro,b2b_workshop_manufacturing,29.52,29.36,35.08,29.37
firm-v2-000383,admin_professional_belt,real_estate_services,micro,b2b_general_local_smes,48.63,58.56,58.06,54.17
firm-v2-000384,core_colombo,education_services,small,b2b_service_admin_clusters,71.23,60.24,66.05,66.81
firm-v2-000385,admin_professional_belt,retail_trade,small,b2b_consumer_service_smes,64.97,61.44,60.98,65.39
firm-v2-000386,south_west_suburban,professional_services,small,b2b_knowledge_and_admin_smes,73.15,76.24,72.23,66.51
firm-v2-000387,core_colombo,retail_trade,small,b2b_consumer_service_smes,63.23,60.24,60.55,64.57
firm-v2-000388,south_west_suburban,real_estate_services,micro,b2b_general_local_smes,38.16,51.36,55.44,49.23
firm-v2-000389,admin_professional_belt,growth_services,medium,b2b_knowledge_and_admin_smes,99.6,100.0,80.84,91.65
firm-v2-000390,south_west_suburban,education_services,small,b2b_service_admin_clusters,62.51,54.24,63.87,62.69
firm-v2-000391,outer_commuter_belt,tourism_hospitality,small,b2b_consumer_service_smes,47.28,50.64,59.26,57.5
firm-v2-000392,outer_commuter_belt,wholesale_distribution,small,b2b_field_and_flow_operators,51.28,50.64,52.66,52.78
firm-v2-000393,east_growth_corridor,food_service,micro,b2b_frontline_micro_operators,29.27,30.56,42.02,40.43
firm-v2-000394,south_west_suburban,growth_services,medium,b2b_knowledge_and_admin_smes,89.39,94.88,78.29,87.36
firm-v2-000395,outer_commuter_belt,real_estate_services,micro,b2b_general_local_smes,32.93,47.76,54.13,46.75
firm-v2-000396,core_colombo,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,90.19,84.88,79.99,79.18
firm-v2-000397,east_growth_corridor,construction_contractors,small,b2b_field_and_flow_operators,52.25,55.44,50.46,54.27
firm-v2-000398,east_growth_corridor,food_service,micro,b2b_frontline_micro_operators,29.27,30.56,42.02,40.43
firm-v2-000399,admin_professional_belt,education_services,small,b2b_service_admin_clusters,72.97,61.44,66.48,67.63
firm-v2-000400,east_growth_corridor,personal_services,micro,b2b_frontline_micro_operators,25.27,30.56,51.92,39.67
firm-v2-000401,outer_commuter_belt,logistics_services,small,b2b_field_and_flow_operators,53.28,50.64,52.66,53.34
firm-v2-000402,admin_professional_belt,professional_services,small,b2b_knowledge_and_admin_smes,83.61,83.44,74.84,71.45
firm-v2-000403,south_west_suburban,personal_services,micro,b2b_frontline_micro_operators,23.52,29.36,51.48,38.85
firm-v2-000404,outer_commuter_belt,real_estate_services,micro,b2b_general_local_smes,32.93,47.76,54.13,46.75
firm-v2-000405,core_colombo,real_estate_services,micro,b2b_general_local_smes,46.88,57.36,57.62,53.35
firm-v2-000406,outer_commuter_belt,education_services,small,b2b_service_admin_clusters,57.28,50.64,62.56,60.22
firm-v2-000407,core_colombo,retail_trade,small,b2b_consumer_service_smes,63.23,60.24,60.55,64.57
firm-v2-000408,south_west_suburban,professional_services,small,b2b_knowledge_and_admin_smes,73.15,76.24,72.23,66.51
firm-v2-000409,south_west_suburban,light_manufacturing,micro,b2b_workshop_manufacturing,29.52,29.36,35.08,29.37
firm-v2-000410,east_growth_corridor,light_manufacturing,micro,b2b_workshop_manufacturing,31.27,30.56,35.52,30.19
firm-v2-000411,outer_commuter_belt,tourism_hospitality,small,b2b_consumer_service_smes,47.28,50.64,59.26,57.5
firm-v2-000412,east_growth_corridor,wholesale_distribution,small,b2b_field_and_flow_operators,58.25,55.44,54.4,56.07
firm-v2-000413,core_colombo,growth_services,medium,b2b_knowledge_and_admin_smes,98.0,100.0,80.44,91.2
firm-v2-000414,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000415,admin_professional_belt,professional_services,small,b2b_knowledge_and_admin_smes,83.61,83.44,74.84,71.45
firm-v2-000416,outer_commuter_belt,construction_contractors,small,b2b_field_and_flow_operators,45.28,50.64,48.72,50.98
firm-v2-000417,outer_commuter_belt,real_estate_services,micro,b2b_general_local_smes,32.93,47.76,54.13,46.75
firm-v2-000418,outer_commuter_belt,light_manufacturing,micro,b2b_workshop_manufacturing,24.29,25.76,33.77,26.89
firm-v2-000419,south_west_suburban,wholesale_distribution,small,b2b_field_and_flow_operators,56.51,54.24,53.97,55.25
firm-v2-000420,admin_professional_belt,education_services,small,b2b_service_admin_clusters,72.97,61.44,66.48,67.63
firm-v2-000421,core_colombo,logistics_services,small,b2b_field_and_flow_operators,67.23,60.24,56.15,59.93
firm-v2-000422,east_growth_corridor,professional_services,small,b2b_knowledge_and_admin_smes,74.89,77.44,72.66,67.33
firm-v2-000423,east_growth_corridor,construction_contractors,small,b2b_field_and_flow_operators,52.25,55.44,50.46,54.27
firm-v2-000424,outer_commuter_belt,healthcare_services,small,b2b_service_admin_clusters,63.28,50.64,63.66,61.94
firm-v2-000425,east_growth_corridor,wholesale_distribution,small,b2b_field_and_flow_operators,58.25,55.44,54.4,56.07
firm-v2-000426,south_west_suburban,construction_contractors,small,b2b_field_and_flow_operators,50.51,54.24,50.03,53.45
firm-v2-000427,core_colombo,retail_trade,micro,b2b_frontline_micro_operators,40.24,35.36,43.76,44.85
firm-v2-000428,admin_professional_belt,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,91.93,86.08,80.42,80.0
firm-v2-000429,outer_commuter_belt,light_manufacturing,micro,b2b_workshop_manufacturing,24.29,25.76,33.77,26.89
firm-v2-000430,core_colombo,retail_trade,micro,b2b_frontline_micro_operators,40.24,35.36,43.76,44.85
firm-v2-000431,outer_commuter_belt,construction_contractors,small,b2b_field_and_flow_operators,45.28,50.64,48.72,50.98
firm-v2-000432,admin_professional_belt,wholesale_distribution,small,b2b_field_and_flow_operators,66.97,61.44,56.58,60.19
firm-v2-000433,east_growth_corridor,retail_trade,micro,b2b_frontline_micro_operators,33.27,30.56,42.02,41.55
firm-v2-000434,outer_commuter_belt,logistics_services,small,b2b_field_and_flow_operators,53.28,50.64,52.66,53.34
firm-v2-000435,outer_commuter_belt,retail_trade,small,b2b_consumer_service_smes,49.28,50.64,57.06,57.98
firm-v2-000436,east_growth_corridor,real_estate_services,micro,b2b_general_local_smes,39.91,52.56,55.88,50.05
firm-v2-000437,south_west_suburban,retail_trade,small,b2b_consumer_service_smes,54.51,54.24,58.37,60.45
firm-v2-000438,core_colombo,construction_contractors,small,b2b_field_and_flow_operators,59.23,60.24,52.21,57.57
firm-v2-000439,admin_professional_belt,food_service,micro,b2b_frontline_micro_operators,37.99,36.56,44.2,44.55
firm-v2-000440,outer_commuter_belt,retail_trade,small,b2b_consumer_service_smes,49.28,50.64,57.06,57.98
firm-v2-000441,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000442,east_growth_corridor,retail_trade,micro,b2b_frontline_micro_operators,33.27,30.56,42.02,41.55
firm-v2-000443,core_colombo,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,90.19,84.88,79.99,79.18
firm-v2-000444,outer_commuter_belt,retail_trade,small,b2b_consumer_service_smes,49.28,50.64,57.06,57.98
firm-v2-000445,core_colombo,logistics_services,small,b2b_field_and_flow_operators,67.23,60.24,56.15,59.93
firm-v2-000446,outer_commuter_belt,professional_services,small,b2b_knowledge_and_admin_smes,67.92,72.64,70.92,64.04
firm-v2-000447,east_growth_corridor,food_service,micro,b2b_frontline_micro_operators,29.27,30.56,42.02,40.43
firm-v2-000448,outer_commuter_belt,food_service,micro,b2b_frontline_micro_operators,22.29,25.76,40.27,37.13
firm-v2-000449,south_west_suburban,personal_services,micro,b2b_frontline_micro_operators,23.52,29.36,51.48,38.85
firm-v2-000450,core_colombo,professional_services,small,b2b_knowledge_and_admin_smes,81.87,82.24,74.41,70.63
firm-v2-000451,outer_commuter_belt,growth_services,medium,b2b_knowledge_and_admin_smes,84.15,91.28,76.98,84.88
firm-v2-000452,core_colombo,growth_services,medium,b2b_knowledge_and_admin_smes,98.0,100.0,80.44,91.2
firm-v2-000453,core_colombo,food_service,micro,b2b_frontline_micro_operators,36.24,35.36,43.76,43.73
firm-v2-000454,east_growth_corridor,wholesale_distribution,small,b2b_field_and_flow_operators,58.25,55.44,54.4,56.07
firm-v2-000455,core_colombo,retail_trade,micro,b2b_frontline_micro_operators,40.24,35.36,43.76,44.85
firm-v2-000456,admin_professional_belt,personal_services,micro,b2b_frontline_micro_operators,33.99,36.56,54.1,43.79
firm-v2-000457,east_growth_corridor,logistics_services,small,b2b_field_and_flow_operators,60.25,55.44,54.4,56.63
firm-v2-000458,outer_commuter_belt,professional_services,small,b2b_knowledge_and_admin_smes,67.92,72.64,70.92,64.04
firm-v2-000459,core_colombo,professional_services,small,b2b_knowledge_and_admin_smes,81.87,82.24,74.41,70.63
firm-v2-000460,east_growth_corridor,wholesale_distribution,small,b2b_field_and_flow_operators,58.25,55.44,54.4,56.07
firm-v2-000461,east_growth_corridor,wholesale_distribution,small,b2b_field_and_flow_operators,58.25,55.44,54.4,56.07
firm-v2-000462,admin_professional_belt,professional_services,small,b2b_knowledge_and_admin_smes,83.61,83.44,74.84,71.45
firm-v2-000463,outer_commuter_belt,professional_services,small,b2b_knowledge_and_admin_smes,67.92,72.64,70.92,64.04
firm-v2-000464,core_colombo,education_services,small,b2b_service_admin_clusters,71.23,60.24,66.05,66.81
firm-v2-000465,south_west_suburban,light_manufacturing,micro,b2b_workshop_manufacturing,29.52,29.36,35.08,29.37
firm-v2-000466,east_growth_corridor,logistics_services,small,b2b_field_and_flow_operators,60.25,55.44,54.4,56.63
firm-v2-000467,south_west_suburban,retail_trade,small,b2b_consumer_service_smes,54.51,54.24,58.37,60.45
firm-v2-000468,admin_professional_belt,real_estate_services,micro,b2b_general_local_smes,48.63,58.56,58.06,54.17
firm-v2-000469,admin_professional_belt,real_estate_services,micro,b2b_general_local_smes,48.63,58.56,58.06,54.17
firm-v2-000470,south_west_suburban,tourism_hospitality,small,b2b_consumer_service_smes,52.51,54.24,60.57,59.97
firm-v2-000471,outer_commuter_belt,tourism_hospitality,small,b2b_consumer_service_smes,47.28,50.64,59.26,57.5
firm-v2-000472,east_growth_corridor,tourism_hospitality,small,b2b_consumer_service_smes,54.25,55.44,61.0,60.79
firm-v2-000473,south_west_suburban,logistics_services,small,b2b_field_and_flow_operators,58.51,54.24,53.97,55.81
firm-v2-000474,south_west_suburban,growth_services,medium,b2b_knowledge_and_admin_smes,89.39,94.88,78.29,87.36
firm-v2-000475,east_growth_corridor,growth_services,medium,b2b_knowledge_and_admin_smes,91.13,96.08,78.72,88.18
firm-v2-000476,admin_professional_belt,light_manufacturing,micro,b2b_workshop_manufacturing,39.99,36.56,37.7,34.31
firm-v2-000477,east_growth_corridor,growth_services,medium,b2b_knowledge_and_admin_smes,91.13,96.08,78.72,88.18
firm-v2-000478,east_growth_corridor,healthcare_services,small,b2b_service_admin_clusters,70.25,55.44,65.4,65.23
firm-v2-000479,outer_commuter_belt,retail_trade,micro,b2b_frontline_micro_operators,26.29,25.76,40.27,38.25
firm-v2-000480,core_colombo,education_services,small,b2b_service_admin_clusters,71.23,60.24,66.05,66.81
firm-v2-000481,core_colombo,wholesale_distribution,small,b2b_field_and_flow_operators,65.23,60.24,56.15,59.37
firm-v2-000482,admin_professional_belt,tourism_hospitality,small,b2b_consumer_service_smes,62.97,61.44,63.18,64.91
firm-v2-000483,south_west_suburban,retail_trade,micro,b2b_frontline_micro_operators,31.52,29.36,41.58,40.73
firm-v2-000484,east_growth_corridor,retail_trade,micro,b2b_frontline_micro_operators,33.27,30.56,42.02,41.55
firm-v2-000485,admin_professional_belt,real_estate_services,micro,b2b_general_local_smes,48.63,58.56,58.06,54.17
firm-v2-000486,south_west_suburban,food_service,micro,b2b_frontline_micro_operators,27.52,29.36,41.58,39.61
firm-v2-000487,admin_professional_belt,tourism_hospitality,small,b2b_consumer_service_smes,62.97,61.44,63.18,64.91
firm-v2-000488,outer_commuter_belt,logistics_services,small,b2b_field_and_flow_operators,53.28,50.64,52.66,53.34
firm-v2-000489,admin_professional_belt,retail_trade,small,b2b_consumer_service_smes,64.97,61.44,60.98,65.39
firm-v2-000490,outer_commuter_belt,logistics_services,small,b2b_field_and_flow_operators,53.28,50.64,52.66,53.34
firm-v2-000491,east_growth_corridor,retail_trade,micro,b2b_frontline_micro_operators,33.27,30.56,42.02,41.55
firm-v2-000492,outer_commuter_belt,retail_trade,small,b2b_consumer_service_smes,49.28,50.64,57.06,57.98
firm-v2-000493,east_growth_corridor,wholesale_distribution,small,b2b_field_and_flow_operators,58.25,55.44,54.4,56.07
firm-v2-000494,outer_commuter_belt,finance_admin_smes,medium,b2b_knowledge_and_admin_smes,76.23,75.28,76.5,72.58
